metadata_participant_id,metadata_timestamp,metadata_pattern_type,metadata_interface_id,score_inefficient_efficient,score_interesting_not_interesting,score_clear_confusing,score_enjoyable_annoying,score_organized_cluttered,score_addictive_non_addictive,score_supportive_obstructive,score_pressuring_suggesting,score_boring_exciting,score_revealed_covert,score_complicated_easy,score_unpredictable_predictable,score_friendly_unfriendly,score_deceptive_benevolent
P386,2025-04-07T14:38:05,Content Customization,interface_013,1,6,4,7,5,7,7,1,2,4,6,7,6,2
P388,2025-04-07T14:38:05,Content Customization,interface_013,6,3,2,2,2,6,3,5,4,2,6,5,-1,3
P389,2025-04-07T14:38:04,Social Connector,interface_012,7,7,3,4,2,5,1,3,2,2,7,7,-1,-1
P393,2025-04-07T14:38:53,Nagging,interface_001,6,6,4,7,4,7,6,1,4,5,7,4,7,2
P393,2025-04-07T14:38:54,Overcomplicated Process,interface_002,3,6,6,4,7,6,5,5,3,3,2,5,6,4
P393,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,6,4,2,2,2,6,2,4,4,4,6,6,2,6
P393,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,5,5,5,4,3,7,3,5,3,3,5,-1,4,5
P393,2025-04-07T14:38:00,Toying With Emotion,interface_008,6,6,2,6,2,6,6,2,4,4,6,4,7,2
P399,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,2,6,6,6,2,2,6,2,2,2,2,2,6,2
P399,2025-04-07T14:38:02,Gamification,interface_010,2,7,7,5,5,2,2,1,2,7,2,2,5,2
P399,2025-04-07T14:38:03,Social Pressure,interface_011,2,5,6,5,6,2,6,2,2,6,2,2,6,2
P399,2025-04-07T14:38:05,Content Customization,interface_013,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P399,2025-04-07T14:38:07,Pull To Refresh,interface_015,3,3,3,3,3,3,3,3,3,3,3,3,3,3
P400,2025-04-07T14:38:54,Overcomplicated Process,interface_002,5,3,3,3,3,4,3,4,5,3,5,4,3,5
P400,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,5,3,2,2,3,2,3,3,5,4,6,3,4,3
P400,2025-04-07T14:38:58,False Hierarchy,interface_006,4,5,4,5,4,4,5,3,4,3,5,3,5,3
P400,2025-04-07T14:38:01,Forced Access,interface_009,3,5,3,5,4,4,5,3,4,3,5,3,5,3
P404,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,4,4,7,4,4,4,4,1,4,4,1,4,-1,4
P404,2025-04-07T14:38:02,Gamification,interface_010,4,4,7,7,7,4,7,1,4,7,1,1,7,1
P404,2025-04-07T14:38:04,Social Connector,interface_012,4,4,6,4,4,4,4,1,4,4,4,4,4,2
P404,2025-04-07T14:38:05,Content Customization,interface_013,4,4,7,4,7,7,4,1,4,2,2,3,6,2
P405,2025-04-07T14:38:53,Nagging,interface_001,1,7,6,7,6,-1,7,1,1,6,2,1,7,2
P405,2025-04-07T14:38:59,Trick Wording,interface_007,1,7,7,6,7,-1,6,1,1,7,1,1,7,2
P406,2025-04-07T14:38:54,Overcomplicated Process,interface_002,1,4,6,6,7,4,7,4,4,6,1,5,6,3
P406,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,5,4,3,3,5,4,3,4,4,2,5,5,3,4
P406,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,3,2,2,3,4,7,3,4,4,2,2,6,2,4
P406,2025-04-07T14:38:58,False Hierarchy,interface_006,4,4,5,6,3,4,5,3,4,6,4,6,7,2
P406,2025-04-07T14:38:03,Social Pressure,interface_011,4,4,3,5,2,3,4,2,3,4,6,5,4,5
P407,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,7,6,1,4,-1,1,1,1,4,1,7,7,7,7
P407,2025-04-07T14:38:58,False Hierarchy,interface_006,1,1,4,7,-1,1,7,1,7,7,1,7,7,1
P407,2025-04-07T14:38:59,Trick Wording,interface_007,1,1,7,7,7,1,7,1,-1,7,1,1,7,1
P407,2025-04-07T14:38:01,Forced Access,interface_009,1,1,-1,7,7,-1,7,1,7,7,1,1,7,1
P415,2025-04-07T14:38:58,False Hierarchy,interface_006,2,5,6,5,5,4,5,2,3,6,3,2,6,2
P415,2025-04-07T14:38:01,Forced Access,interface_009,5,5,5,5,5,4,3,2,3,5,3,2,5,3
P415,2025-04-07T14:38:02,Gamification,interface_010,5,3,3,3,4,3,3,3,5,5,5,5,3,2
P415,2025-04-07T14:38:04,Social Connector,interface_012,3,5,5,5,5,3,5,2,5,5,2,2,5,2
P415,2025-04-07T14:38:06,Endlessness,interface_014,2,5,5,5,5,4,5,2,2,6,4,3,6,2
P417,2025-04-07T14:38:53,Nagging,interface_001,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P417,2025-04-07T14:38:54,Overcomplicated Process,interface_002,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P417,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,4,4,4,4,4,4,4,4,4,4,4,4,-1,4
P417,2025-04-07T14:38:03,Social Pressure,interface_011,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P417,2025-04-07T14:38:05,Content Customization,interface_013,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P418,2025-04-07T14:38:53,Nagging,interface_001,3,4,6,5,4,4,5,3,4,5,3,3,4,3
P418,2025-04-07T14:38:54,Overcomplicated Process,interface_002,2,4,7,5,7,4,4,4,4,5,2,3,5,3
P418,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,4,4,7,7,4,3,7,4,4,7,1,5,7,1
P418,2025-04-07T14:38:05,Content Customization,interface_013,5,3,4,4,5,2,3,4,5,3,5,5,3,4
P418,2025-04-07T14:38:07,Pull To Refresh,interface_015,5,3,3,4,5,1,3,4,5,4,5,3,4,2
P420,2025-04-07T14:38:03,Social Pressure,interface_011,5,5,2,5,3,3,3,3,2,3,6,3,5,5
P428,2025-04-07T14:38:54,Overcomplicated Process,interface_002,4,4,2,3,4,3,4,5,5,2,3,4,3,3
P428,2025-04-07T14:38:55,Hindering Account Deletion,interface_003,3,3,1,3,1,4,3,4,4,3,3,3,3,4
P428,2025-04-07T14:38:57,Expectation Result Mismatch,interface_005,4,3,6,4,3,4,2,1,4,2,7,7,7,1
P428,2025-04-07T14:38:02,Gamification,interface_010,4,4,3,5,4,3,3,4,3,3,5,3,5,2
P428,2025-04-07T14:38:04,Social Connector,interface_012,3,4,3,3,3,4,3,5,2,3,4,4,3,4
P430,2025-04-07T14:38:58,False Hierarchy,interface_006,4,4,7,7,7,4,7,1,4,7,7,1,7,1
P430,2025-04-07T14:38:00,Toying With Emotion,interface_008,1,7,7,7,7,4,7,1,4,7,1,7,7,1
P430,2025-04-07T14:38:01,Forced Access,interface_009,1,7,7,7,7,1,7,1,4,1,4,1,7,1
P430,2025-04-07T14:38:03,Social Pressure,interface_011,6,2,2,2,4,2,2,6,5,4,6,6,3,6
P430,2025-04-07T14:38:07,Pull To Refresh,interface_015,6,2,2,2,2,4,1,4,4,1,6,6,1,6
P432,2025-04-07T14:38:56,Sneaking Bad Default,interface_004,3,2,3,6,4,6,3,1,4,3,2,3,6,3
P432,2025-04-07T14:38:03,Social Pressure,interface_011,1,7,4,7,7,2,7,1,3,7,6,1,7,1
P432,2025-04-07T14:38:04,Social Connector,interface_012,3,4,2,6,3,6,3,1,3,6,5,6,5,2
P432,2025-04-07T14:38:05,Content Customization,interface_013,1,7,6,7,7,2,7,1,3,7,2,1,6,2
P433,2025-04-07T14:38:54,Overcomplicated Process,interface_002,5,5,5,5,5,4,5,4,3,-1,3,4,5,4
P433,2025-04-07T14:38:06,Endlessness,interface_014,3,6,4,5,4,4,4,4,3,4,4,4,4,4
P440,2025-04-07T14:38:58,False Hierarchy,interface_006,-1,5,2,7,2,7,5,2,1,2,-1,5,7,4
P440,2025-04-07T14:38:04,Social Connector,interface_012,-1,3,3,7,-1,7,7,1,2,4,4,5,7,3
P444,2025-04-07T14:38:02,Forced Access,interface_009,7,4,1,5,2,6,4,2,5,4,5,4,5,1
P444,2025-04-07T14:38:04,Social Pressure,interface_011,7,2,2,1,4,1,4,1,4,3,7,4,2,2
P444,2025-04-07T14:38:07,Endlessness,interface_014,7,4,2,3,2,1,4,4,5,4,7,7,1,1
P444,2025-04-07T14:38:08,Pull To Refresh,interface_015,7,4,1,2,4,3,1,7,1,1,7,7,1,4
P449,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,1,4,1,7,7,4,4,4,4,1,1,7,7,1
P449,2025-04-07T14:38:02,Forced Access,interface_009,1,4,7,7,7,4,7,1,1,7,1,7,5,1
P449,2025-04-07T14:38:03,Gamification,interface_010,1,7,4,6,3,7,6,4,1,7,4,7,6,1
P449,2025-04-07T14:38:06,Content Customization,interface_013,4,4,4,4,2,6,4,4,4,2,4,5,5,6
P449,2025-04-07T14:38:07,Endlessness,interface_014,5,3,3,3,2,3,4,5,5,2,5,6,3,5
P450,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,2,5,5,5,2,2,5,5,5,6,5,6,3,4
P450,2025-04-07T14:38:01,Toying With Emotion,interface_008,5,6,5,3,4,5,4,2,5,4,6,5,4,5
P450,2025-04-07T14:38:03,Gamification,interface_010,5,5,5,3,5,3,5,5,4,5,4,4,2,4
P450,2025-04-07T14:38:05,Social Connector,interface_012,3,6,6,4,4,4,4,5,3,4,4,3,6,4
P450,2025-04-07T14:38:07,Endlessness,interface_014,5,5,4,3,3,4,5,3,2,5,4,3,3,3
P451,2025-04-07T14:38:54,Nagging,interface_001,3,6,3,6,4,2,6,2,3,3,4,5,6,3
P451,2025-04-07T14:38:55,Overcomplicated Process,interface_002,3,5,6,5,5,4,5,4,3,4,4,3,5,4
P451,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,5,4,3,4,3,3,4,3,5,3,5,5,3,4
P451,2025-04-07T14:38:02,Forced Access,interface_009,3,5,5,5,4,4,5,4,3,4,3,4,5,4
P451,2025-04-07T14:38:04,Social Pressure,interface_011,3,6,2,6,1,5,5,2,1,1,7,6,5,4
P452,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,3,7,7,6,6,7,5,-1,1,6,1,5,5,3
P452,2025-04-07T14:38:59,False Hierarchy,interface_006,4,6,6,6,5,7,5,1,1,-1,3,6,5,3
P452,2025-04-07T14:38:08,Pull To Refresh,interface_015,7,1,1,1,3,3,3,6,7,2,7,5,3,6
P457,2025-04-07T14:38:54,Nagging,interface_001,2,5,2,7,3,3,4,3,4,2,6,5,5,4
P457,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,2,6,6,7,6,4,6,4,2,6,2,2,6,2
P457,2025-04-07T14:38:03,Gamification,interface_010,5,4,2,3,3,6,2,5,5,2,6,6,2,5
P457,2025-04-07T14:38:04,Social Pressure,interface_011,5,4,3,5,3,5,-1,5,4,3,6,4,4,4
P457,2025-04-07T14:38:05,Social Connector,interface_012,6,5,3,5,2,6,3,5,4,3,6,5,3,5
P458,2025-04-07T14:38:55,Overcomplicated Process,interface_002,6,2,2,2,2,4,3,3,4,3,6,5,3,3
P458,2025-04-07T14:38:01,Toying With Emotion,interface_008,1,6,5,7,7,3,7,1,1,5,6,3,7,1
P458,2025-04-07T14:38:02,Forced Access,interface_009,6,3,3,4,3,4,3,5,5,5,6,5,3,5
P458,2025-04-07T14:38:04,Social Pressure,interface_011,6,3,1,7,2,7,3,5,6,-1,6,6,1,6
P458,2025-04-07T14:38:07,Endlessness,interface_014,5,2,3,3,2,5,3,5,5,3,6,5,3,5
P459,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,3,4,5,5,5,6,3,5,5,4,5,2,5,5
P459,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,3,5,3,5,3,5,6,5,5,3,5,5,3,5
P459,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,6,4,4,4,4,4,5,3,5,3,3,6,5,5
P459,2025-04-07T14:38:00,Trick Wording,interface_007,5,6,6,6,4,5,6,5,3,3,5,6,3,5
P459,2025-04-07T14:38:08,Pull To Refresh,interface_015,5,3,5,5,4,5,5,5,6,4,5,4,5,3
P462,2025-04-07T14:38:05,Social Connector,interface_012,1,7,-1,7,1,7,7,1,1,7,7,-1,7,1
P463,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,6,5,7,5,6,2,6,2,7,7,3,6,5,4
P463,2025-04-07T14:38:00,Trick Wording,interface_007,4,7,6,6,6,3,5,-1,3,5,7,2,4,4
P463,2025-04-07T14:38:01,Toying With Emotion,interface_008,2,3,6,6,4,2,5,5,4,3,7,7,5,5
P463,2025-04-07T14:38:03,Gamification,interface_010,4,7,4,5,7,3,-1,-1,6,3,6,6,3,5
P463,2025-04-07T14:38:04,Social Pressure,interface_011,7,4,3,5,6,4,2,2,6,6,6,6,4,3
P464,2025-04-07T14:38:55,Overcomplicated Process,interface_002,3,4,7,6,7,4,6,3,4,5,3,2,6,2
P464,2025-04-07T14:38:59,False Hierarchy,interface_006,5,7,6,6,2,4,5,1,4,7,7,2,6,1
P464,2025-04-07T14:38:05,Social Connector,interface_012,6,3,4,5,4,4,3,2,4,2,6,2,6,2
P464,2025-04-07T14:38:06,Content Customization,interface_013,6,4,3,3,6,4,3,4,5,1,6,3,3,2
P464,2025-04-07T14:38:08,Pull To Refresh,interface_015,6,2,4,4,4,4,2,6,4,5,7,3,3,3
P465,2025-04-07T14:38:54,Nagging,interface_001,7,3,2,3,3,3,3,6,6,3,6,6,2,-1
P465,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,6,3,3,3,3,3,3,6,6,3,6,5,3,6
P465,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,6,3,3,3,3,3,3,6,5,5,5,6,3,-1
P465,2025-04-07T14:38:02,Forced Access,interface_009,3,3,3,5,3,3,3,5,3,3,3,3,2,-1
P465,2025-04-07T14:38:07,Endlessness,interface_014,5,3,3,3,3,2,3,6,6,3,6,5,3,-1
P469,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,6,4,4,5,6,5,5,5,4,6,3,6,5,3
P469,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,6,4,5,5,4,4,6,4,4,4,6,5,6,6
P469,2025-04-07T14:38:01,Toying With Emotion,interface_008,4,5,6,6,5,6,4,6,4,5,6,4,3,6
P469,2025-04-07T14:38:03,Gamification,interface_010,5,3,5,4,6,3,6,4,4,4,6,4,5,5
P469,2025-04-07T14:38:04,Social Pressure,interface_011,4,5,3,3,5,4,6,6,5,4,6,6,4,4
P472,2025-04-07T14:38:55,Overcomplicated Process,interface_002,2,2,7,7,7,7,6,3,4,2,1,2,7,2
P472,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,5,4,1,4,1,-1,3,4,4,2,7,6,4,4
P472,2025-04-07T14:38:59,False Hierarchy,interface_006,6,2,2,1,2,7,1,-1,5,2,7,6,3,-1
P477,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,6,1,2,2,2,7,2,6,6,2,7,7,1,6
P477,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,6,3,3,2,6,2,2,6,6,3,6,6,2,5
P477,2025-04-07T14:38:03,Gamification,interface_010,6,3,2,5,3,3,3,1,4,2,4,2,2,4
P477,2025-04-07T14:38:04,Social Pressure,interface_011,6,2,2,2,2,2,1,7,7,2,6,6,2,7
P477,2025-04-07T14:38:05,Social Connector,interface_012,3,2,3,3,3,3,2,2,-1,3,4,-1,3,3
P478,2025-04-07T14:38:54,Nagging,interface_001,4,7,3,7,3,7,5,4,2,3,5,4,4,2
P478,2025-04-07T14:38:55,Overcomplicated Process,interface_002,3,5,6,7,7,7,6,4,1,6,1,3,6,2
P478,2025-04-07T14:38:59,False Hierarchy,interface_006,1,5,3,7,5,6,7,1,1,6,3,5,7,3
P478,2025-04-07T14:38:00,Trick Wording,interface_007,3,5,6,7,2,7,7,2,1,2,2,3,7,1
P478,2025-04-07T14:38:08,Pull To Refresh,interface_015,6,3,2,2,3,3,1,5,4,3,7,6,2,5
P482,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,4,4,2,4,4,7,3,2,4,1,6,4,4,2
P483,2025-04-07T14:38:07,Endlessness,interface_014,7,4,7,4,7,1,7,1,4,1,7,1,-1,1
P491,2025-04-07T14:38:54,Nagging,interface_001,3,4,4,4,4,7,7,4,4,4,2,4,6,4
P491,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,2,6,6,6,7,7,6,2,2,3,2,4,6,4
P491,2025-04-07T14:38:00,Trick Wording,interface_007,4,1,2,6,4,7,4,3,4,1,4,1,7,1
P491,2025-04-07T14:38:01,Toying With Emotion,interface_008,6,1,1,2,1,7,2,4,6,1,4,4,2,6
P491,2025-04-07T14:38:02,Forced Access,interface_009,1,7,7,7,7,7,7,1,1,1,1,1,7,1
P492,2025-04-07T14:38:55,Overcomplicated Process,interface_002,5,4,4,4,4,2,3,4,4,4,4,4,3,4
P492,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P492,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P492,2025-04-07T14:38:03,Gamification,interface_010,4,4,4,4,4,4,4,2,4,4,4,3,4,3
P492,2025-04-07T14:38:06,Content Customization,interface_013,4,2,3,4,4,6,4,4,4,4,4,4,4,4
P498,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,4,4,5,6,6,7,5,3,4,5,3,2,5,4
P498,2025-04-07T14:38:59,False Hierarchy,interface_006,3,6,4,7,4,7,6,2,1,6,5,2,7,2
P498,2025-04-07T14:38:00,Trick Wording,interface_007,4,5,5,7,2,7,4,1,3,5,4,2,7,3
P498,2025-04-07T14:38:06,Content Customization,interface_013,2,6,6,5,6,6,3,2,3,3,2,4,4,4
P498,2025-04-07T14:38:08,Pull To Refresh,interface_015,2,4,5,6,3,3,6,3,2,2,3,3,5,4
P505,2025-04-07T14:38:55,Overcomplicated Process,interface_002,1,7,7,7,7,3,7,3,3,4,1,1,7,1
P505,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,6,2,2,3,2,4,3,3,4,4,3,3,3,4
P505,2025-04-07T14:38:01,Toying With Emotion,interface_008,6,5,4,7,4,7,6,2,4,4,2,3,6,2
P505,2025-04-07T14:38:02,Forced Access,interface_009,2,4,7,7,6,3,6,3,4,5,1,3,5,2
P505,2025-04-07T14:38:05,Social Connector,interface_012,4,4,5,4,5,3,4,4,3,4,4,4,4,4
P506,2025-04-07T14:38:55,Overcomplicated Process,interface_002,6,7,6,6,6,6,7,7,7,5,5,6,6,6
P506,2025-04-07T14:38:59,False Hierarchy,interface_006,4,7,4,5,7,4,4,4,6,7,5,5,5,4
P506,2025-04-07T14:38:03,Gamification,interface_010,6,7,6,6,7,6,6,7,-1,6,7,7,7,7
P506,2025-04-07T14:38:05,Social Connector,interface_012,7,5,6,5,5,7,6,6,5,6,6,5,6,7
P506,2025-04-07T14:38:07,Endlessness,interface_014,5,5,4,5,5,4,7,6,5,4,3,6,6,6
P508,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,4,3,2,3,5,5,5,5,4,5,5,2,4,6
P508,2025-04-07T14:38:00,Trick Wording,interface_007,6,6,3,5,3,3,3,4,5,5,5,5,3,3
P508,2025-04-07T14:38:01,Toying With Emotion,interface_008,4,5,5,3,4,4,4,3,5,6,7,5,3,3
P508,2025-04-07T14:38:02,Forced Access,interface_009,3,4,2,5,3,4,2,3,5,6,5,5,2,5
P508,2025-04-07T14:38:04,Social Pressure,interface_011,3,5,4,3,4,4,4,3,5,6,6,4,5,6
P512,2025-04-07T14:38:54,Nagging,interface_001,6,7,7,7,7,-1,7,1,1,1,7,1,7,1
P512,2025-04-07T14:38:05,Social Connector,interface_012,7,1,1,1,1,1,1,1,7,1,7,7,2,1
P512,2025-04-07T14:38:06,Content Customization,interface_013,1,6,1,3,1,7,4,2,1,1,1,6,6,2
P512,2025-04-07T14:38:07,Endlessness,interface_014,7,1,1,1,1,1,1,1,7,7,7,1,4,1
P514,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,5,2,3,6,3,4,3,3,4,2,4,4,5,4
P514,2025-04-07T14:38:01,Toying With Emotion,interface_008,4,2,-1,5,5,3,4,5,4,3,3,3,5,3
P514,2025-04-07T14:38:02,Forced Access,interface_009,3,3,3,4,3,4,5,4,5,5,4,4,4,5
P514,2025-04-07T14:38:03,Gamification,interface_010,5,4,3,5,6,2,5,3,5,3,5,4,3,6
P514,2025-04-07T14:38:04,Social Pressure,interface_011,-1,5,4,3,4,-1,2,5,7,4,2,5,4,4
P517,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,1,7,7,7,4,7,7,1,1,6,2,5,7,1
P517,2025-04-07T14:38:59,False Hierarchy,interface_006,4,7,5,7,1,7,6,1,1,2,3,6,7,4
P517,2025-04-07T14:38:03,Gamification,interface_010,2,2,2,3,5,1,7,6,2,4,4,5,3,3
P517,2025-04-07T14:38:05,Social Connector,interface_012,2,7,1,7,3,6,6,7,5,5,2,1,4,2
P517,2025-04-07T14:38:06,Content Customization,interface_013,3,2,1,1,1,1,3,7,7,3,7,2,3,4
P519,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,5,4,1,4,1,4,3,4,4,1,7,6,5,4
P519,2025-04-07T14:38:00,Trick Wording,interface_007,5,6,6,4,3,4,5,6,2,3,3,3,4,2
P519,2025-04-07T14:38:02,Forced Access,interface_009,6,4,2,5,3,4,2,2,4,5,5,3,4,3
P519,2025-04-07T14:38:04,Social Pressure,interface_011,5,6,3,6,5,2,5,5,2,5,6,3,3,4
P519,2025-04-07T14:38:07,Endlessness,interface_014,6,4,2,2,1,2,1,2,3,1,7,7,4,2
P523,2025-04-07T14:38:55,Overcomplicated Process,interface_002,3,6,7,7,7,7,5,2,2,3,1,3,6,3
P523,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,6,1,1,2,2,6,2,6,6,2,6,7,2,6
P523,2025-04-07T14:38:57,Sneaking Bad Default,interface_004,4,6,6,5,4,7,6,3,4,3,2,2,6,4
P523,2025-04-07T14:38:58,Expectation Result Mismatch,interface_005,2,6,6,4,4,7,6,2,2,3,2,4,6,3
P523,2025-04-07T14:38:08,Pull To Refresh,interface_015,2,7,6,6,7,7,6,2,3,6,2,2,7,3
P544,2025-04-07T14:38:01,Toying With Emotion,interface_008,4,4,3,7,4,4,6,1,4,2,4,4,6,1
P544,2025-04-07T14:38:04,Social Pressure,interface_011,3,7,3,7,4,4,6,3,3,3,4,4,4,3
P544,2025-04-07T14:38:06,Content Customization,interface_013,4,4,4,6,4,2,5,3,4,2,4,6,4,3
P545,2025-04-07T14:38:59,False Hierarchy,interface_006,4,4,4,5,4,4,4,3,4,2,4,4,6,2
P545,2025-04-07T14:38:00,Trick Wording,interface_007,4,4,4,4,4,4,4,3,4,1,3,3,6,1
P545,2025-04-07T14:38:02,Forced Access,interface_009,4,6,5,7,4,4,4,2,4,2,2,4,6,2
P545,2025-04-07T14:38:03,Gamification,interface_010,4,4,4,4,4,1,4,3,4,3,4,5,4,4
P545,2025-04-07T14:38:05,Social Connector,interface_012,4,3,4,4,1,3,4,3,4,3,5,4,4,3
P554,2025-04-07T14:38:56,Hindering Account Deletion,interface_003,6,7,2,7,6,4,2,4,1,-1,6,5,6,3
P554,2025-04-07T14:38:59,False Hierarchy,interface_006,6,7,2,7,4,4,2,4,1,4,6,7,4,-1
P554,2025-04-07T14:38:01,Toying With Emotion,interface_008,1,7,7,7,7,2,7,1,1,1,1,7,7,1
P554,2025-04-07T14:38:02,Forced Access,interface_009,1,7,6,7,5,-1,6,2,1,2,1,7,6,4
P554,2025-04-07T14:38:08,Pull To Refresh,interface_015,3,4,2,5,1,2,3,4,6,4,7,6,1,4
